Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
2009,3,31,0,28,16.3,87
2009,4,1,3.2,26.7,17.7,87
2009,4,2,5.2,28.6,17.7,78
2009,4,3,0.8,26.6,17.8,85
2009,4,4,23.4,25.4,17.8,92
2009,4,5,42.8,26.7,15.6,91
2009,4,6,10,25.1,17.8,89
2009,4,7,0,23.6,17.3,93
2009,4,8,38.6,24,17.2,94
2009,4,9,6.4,26.6,17.3,91
2009,4,10,8.6,27.6,15.2,76
2009,4,11,0,28,16,85
2009,4,12,7.6,26.4,17.2,86
2009,4,13,45.8,26.6,18.6,83
2009,4,14,2.9,27.7,15.6,78
2009,4,15,0,27.8,14.7,80
2009,4,16,10,27.4,15.8,80
2009,4,17,0,26.8,18.3,76
2009,4,18,0,26.7,12.8,73
2009,4,19,0,26.6,14.2,63
2009,4,20,0,27.4,11,59
2009,4,21,0,27.1,11.9,70
2009,4,22,0,25.5,12.6,76
2009,4,23,0,25.8,15,80
2009,4,24,0,27.4,16.3,81
2009,4,25,0.2,25.7,16.2,82
2009,4,26,5.5,23.6,16,93
2009,4,27,14.2,26.8,15.5,73
2009,4,28,0,28,12.7,66
2009,4,29,0,25.9,16.5,83
2009,4,30,0,26.2,17.6,92
2009,5,1,36.8,25,17,91
2009,5,2,2.8,25,14.2,83
2009,5,3,0,24.5,11.8,83
2009,5,4,0,25.9,12.2,74
2009,5,5,0,25.4,12.8,83
2009,5,6,1.2,26,12.1,84
2009,5,7,0,27,14.3,72
2009,5,8,0,27.4,12.6,70
2009,5,9,0.6,27,12.6,73
2009,5,10,0.4,27.4,12.5,69
2009,5,11,0,27.1,13.5,68
2009,5,12,0,27.2,12.3,65
2009,5,13,0,26.9,11.8,61
2009,5,14,0,27.7,11.8,68
2009,5,15,0,26.3,15.3,79
2009,5,16,1.5,24.4,15.3,83
2009,5,17,0,23.2,15.2,89
2009,5,18,0,24,18.3,84
2009,5,19,0,23.5,15.7,81
2009,5,20,0,23.4,12.2,73
2009,5,21,0,22.8,9.8,71
2009,5,22,0,23.9,10.1,70
2009,5,23,0,25.4,12.2,74
2009,5,24,0,26.2,12.4,74
2009,5,25,0,26.6,12.4,74
2009,5,26,0,27.3,11.4,62
2009,5,27,0,27.2,8.7,57
2009,5,28,0,26,10.8,64
2009,5,29,0,26.6,10.9,69
2009,5,30,0,26.8,12.6,72
2009,5,31,0,26,11.8,92
2009,6,1,21.6,26.4,15.3,83
2009,6,2,2.5,25.2,14.9,83
2009,6,3,0.2,21.6,7.6,67
2009,6,4,0,26,6.3,68
2009,6,5,0,26,7.3,80
2009,6,6,0,25.8,13.3,69
2009,6,7,0,25.3,9.8,59
2009,6,8,0,22.1,11.7,81
2009,6,9,0,23.9,10.9,73
2009,6,10,0,26.2,11.3,69
2009,6,11,0,26,11,75
2009,6,12,0,25.2,10.8,75
2009,6,13,1.9,23.1,11.1,76
2009,6,14,0,24.8,10.2,73
2009,6,15,0,26.1,10.7,71
2009,6,16,0,26.5,11.6,69
2009,6,17,0,26.8,11.3,72
2009,6,18,0,25.3,11.5,73
2009,6,19,0,25.9,11.8,67
2009,6,20,0,25.8,11.4,68
2009,6,21,0,24,11.3,58
2009,6,22,0,24,10.1,58
2009,6,23,0,25.6,9.8,67
2009,6,24,0,24.9,9.6,75
2009,6,25,0,26.2,9.8,70
2009,6,26,0,26.6,11.8,67
2009,6,27,0,26,11.3,66
2009,6,28,0,23,13.7,75
2009,6,29,0,26.1,8.8,64
2009,6,30,0,26.2,9.7,62
2009,7,1,0,26.9,8.6,54
2009,7,2,0,26.1,7.4,53
2009,7,3,0,26.5,7.1,53
2009,7,4,0,26.1,6.2,42
2009,7,5,0,26.2,11.2,54
2009,7,6,0,24.4,13.6,60
2009,7,7,0,23.9,10.7,67
2009,7,8,0,24.2,11,67
2009,7,9,0,26.2,11.6,66
2009,7,10,0,27,12.9,65
2009,7,11,0,26.4,11.6,68
2009,7,12,0,27,13.1,71
2009,7,13,0,27.6,12.1,69
2009,7,14,0,27.3,14.3,62
2009,7,15,0,,,52
2009,7,16,0,25.4,14.2,65
2009,7,17,0,25.2,9.9,66
2009,7,18,0,26,11.2,59
2009,7,19,0,,,
2009,7,20,0,28.1,8,55
2009,7,21,0,28.6,9.4,55
2009,7,22,0,29.4,10.2,59
2009,7,23,0,,,57
2009,7,24,0,30.3,11.5,58
2009,7,25,0,28.6,15,60
2009,7,26,0,28.2,13.2,56
2009,7,27,0,,,43
2009,7,28,0,29.7,7.8,45
2009,7,29,0,30,9.6,49
2009,7,30,0,29.4,9.5,43
2009,7,31,0,29,9.8,41
2009,8,1,0,27.5,10.4,47
2009,8,2,0,27.7,12.4,54
2009,8,4,0,29.3,10.6,47
2009,8,5,0,28.2,11.5,41
2009,8,6,0,,9.5,51
2009,8,7,0,,9.2,30
2009,8,8,0,28.1,13.2,44
2009,8,9,0,28.1,7.1,45
2009,8,10,0,,9.3,43
2009,8,11,0,28.6,10.9,52
2009,8,12,0,27.8,13.8,51
2009,8,13,0,26.1,12.5,62
2009,8,14,0,26,12.2,53
2009,8,15,0,26.7,12.2,52
2009,8,16,0,27.6,12.1,50
2009,8,17,0,27.7,11.2,53
2009,8,18,0,28.6,10.6,49
2009,8,19,0,30.7,10.9,50
2009,8,20,0,21.7,12.1,45
2009,8,21,0,28.2,14.5,66
2009,8,22,0,30.4,15.4,63
2009,8,23,2.6,29.2,15.4,66
2009,8,24,24.6,24.9,15.7,81
2009,8,25,1.9,23.4,13.6,88
2009,8,26,2.8,22.2,15.8,88
2009,8,27,0,23,14.3,78
2009,8,28,0,26.7,,57
2009,8,29,0,27.3,14,62
2009,8,30,0,26.9,12.4,62
2009,8,31,0,26,14.3,66
2009,9,1,0,28.3,13.3,63
2009,9,2,0,30.2,14.7,50
2009,9,3,0,30.8,16.8,53
2009,9,4,0,28.2,16.4,77
2009,9,5,0,27.6,17,71
2009,9,6,3.6,28.1,17.8,87
2009,9,7,10,27.1,17.1,82
2009,9,8,0,27.6,15.1,75
2009,9,9,0,29.1,18.3,69
2009,9,10,0,27.9,17,61
2009,9,11,0,27.8,15.8,51
2009,9,12,0,28.6,13.6,53
2009,9,13,0,30.1,16,46
2009,9,14,0,31,14.7,50
2009,9,15,0,31.5,15.9,43
2009,9,16,0,31.6,18.1,42
2009,9,17,0,31.7,16.3,48
2009,9,18,0,31.1,17.1,59
2009,9,19,7.6,29,17.8,80
2009,9,20,0,29.6,16.2,68
2009,9,21,9,27.3,16.7,84
2009,9,22,2,22.9,15.7,85
2009,9,23,1.2,23.8,17.4,78
2009,9,24,2.8,28.2,16.4,71
2009,9,25,0,30,16.1,61
2009,9,26,0,29.5,17.6,67
2009,9,27,0,30,15.3,62
2009,9,28,0,31.6,15.5,61
2009,9,29,0,32,15.9,65
2009,9,30,0,30.9,18.6,72
2009,10,1,0,31.8,16.3,58
2009,10,2,0,30.3,16.3,67
2009,10,3,0,27.6,16.3,77
2009,10,4,0,30.5,17.6,73
2009,10,5,4.4,28.1,17.2,70
2009,10,6,2.4,28.5,16.7,74
2009,10,7,0,29.9,17.5,69
2009,10,8,0.8,27.6,17.5,87
2009,10,9,19.5,27.4,17,79
2009,10,10,14.9,28.3,16.4,66
2009,10,11,0.3,29.2,16,81
2009,10,12,14,26.7,15.5,84
2009,10,13,0,30.8,15.4,78
2009,10,14,3.6,26.4,16.4,86
2009,10,15,0.4,30.2,15,71
2009,10,16,29.5,27.6,17,77
2009,10,17,0,30.1,15.6,67
2009,10,18,4.5,28.5,17.1,83
2009,10,19,22.8,30.3,15.3,80
2009,10,20,3.9,28,17.2,85
2009,10,21,1,29.1,16.9,79
2009,10,22,0,28.2,16.9,82
2009,10,23,2.2,28.7,16.7,75
2009,10,24,0,28.9,17.4,80
2009,10,25,17.5,29.3,17.7,80
2009,10,26,26.4,28.7,17.4,80
2009,10,27,1,27.3,18,80
2009,10,28,3.3,26,18.5,92
2009,10,29,12.3,25.4,18,86
2009,10,30,5.4,28.6,15.5,79
2009,10,31,10.8,25.5,16,75
2009,11,1,11.2,27.8,15,71
2009,11,2,0,27.4,15.8,79
2009,11,3,0.6,29.2,16,79
2009,11,4,0.5,27.8,17.5,71
2009,11,5,21.7,24.9,18,88
2009,11,6,7.5,25.9,16.7,85
2009,11,7,4.5,26.6,16,72
2009,11,8,0,27.3,16,77
2009,11,9,3,27.7,17.2,87
2009,11,10,1.6,29.6,17.6,77
2009,11,11,21.6,21.8,16.6,89
2009,11,12,0.9,27.9,15.1,75
2009,11,13,22,29.8,16.2,79
2009,11,14,0,30.5,17.7,86
2009,11,15,0,31.2,16.2,59
2009,11,16,0,31.3,16.4,63
2009,11,17,0,31.2,17.1,67
2009,11,18,0,,18.5,83
2009,11,19,4.1,28.9,18.7,74
2009,11,20,9.8,28.3,17.3,74
2009,11,21,0,29,16.8,70
2009,11,22,0,30.1,17,63
2009,11,23,0,29.3,18.9,73
2009,11,24,0,29,16.4,66
2009,11,25,0,28.8,15.3,73
2009,11,26,7.6,27.4,17.7,79
2009,11,27,0,28.2,17.6,79
2009,11,28,1.4,29.7,17.5,69
2009,11,29,0,29.1,17.6,75
2009,11,30,2.4,28.3,17.8,80
