"","System","Season","Month","Day","Year","Bee","Plant","Visits","Precip","Tmax","Tmin","Humid"
"63","BBG","dry"," 8","29","1995","362","149;149","2","0","31","10.9","28"
"64","BBG","dry"," 8","29","1995","364"," 89; 89","2","0","31","10.9","28"
"65","BBG","dry"," 8","29","1995","379"," 12","1","0","31","10.9","28"
"66","BBG","dry"," 8","31","1995","209","149","1","0","30.1","14.8","34"
"67","BBG","dry"," 8","31","1995","216","149","1","0","30.1","14.8","34"
"68","BBG","dry"," 8","31","1995","217","149","1","0","30.1","14.8","34"
"69","BBG","dry"," 8","31","1995","350","101","1","0","30.1","14.8","34"
"70","BBG","dry"," 8","31","1995","362","101","1","0","30.1","14.8","34"
"71","BBG","dry"," 9"," 5","1995","216","  3;  3;  3;120","4","0","24.2","12.4","45"
"72","BBG","dry"," 9"," 5","1995","217","  3; 84","2","0","24.2","12.4","45"
"73","BBG","dry"," 9"," 5","1995","224","  3","1","0","24.2","12.4","45"
"74","BBG","dry"," 9"," 5","1995","353","  3","1","0","24.2","12.4","45"
"75","BBG","dry"," 9"," 5","1995","362"," 23; 23; 23","3","0","24.2","12.4","45"
"76","BBG","dry"," 9","12","1995","216"," 89;122;149;149","4","0","32.2","13.3","21"
"77","BBG","dry"," 9","12","1995","217","122","1","0","32.2","13.3","21"
"78","BBG","dry"," 9","12","1995","281","  3","1","0","32.2","13.3","21"
"79","BBG","dry"," 9","12","1995","289","122;122","2","0","32.2","13.3","21"
"80","BBG","dry"," 9","12","1995","341","150","1","0","32.2","13.3","21"
"81","BBG","dry"," 9","12","1995","350"," 12; 12; 12","3","0","32.2","13.3","21"
"82","BBG","dry"," 9","12","1995","378"," 39; 39;149;149","4","0","32.2","13.3","21"
"83","BBG","dry"," 9","12","1995","379"," 12; 12; 12; 12","4","0","32.2","13.3","21"
"84","BBG","dry"," 9","12","1995","387","  3","1","0","32.2","13.3","21"
"85","BBG","dry"," 9","19","1995","196"," 46;120","2","0.3","28.7","16.6","59"
"86","BBG","dry"," 9","19","1995","214","120;120","2","0.3","28.7","16.6","59"
"87","BBG","dry"," 9","19","1995","216","120","1","0.3","28.7","16.6","59"
"88","BBG","dry"," 9","19","1995","217","120","1","0.3","28.7","16.6","59"
"89","BBG","dry"," 9","19","1995","236","122","1","0.3","28.7","16.6","59"
"90","BBG","dry"," 9","19","1995","292","120","1","0.3","28.7","16.6","59"
"91","BBG","dry"," 9","19","1995","293","122","1","0.3","28.7","16.6","59"
"92","BBG","dry"," 9","19","1995","344","157","1","0.3","28.7","16.6","59"
"93","BBG","dry"," 9","19","1995","350"," 12; 74","2","0.3","28.7","16.6","59"
"94","BBG","dry"," 9","19","1995","351","120;120;120","3","0.3","28.7","16.6","59"
"95","BBG","dry"," 9","19","1995","385","  1","1","0.3","28.7","16.6","59"
"96","BBG","dry"," 9","29","1995","229"," 80; 80","2","0","29.2","16.6","54"
"97","BBG","dry"," 9","29","1995","231","150","1","0","29.2","16.6","54"
"98","BBG","dry"," 9","29","1995","362","160","1","0","29.2","16.6","54"
"99","BBG","dry"," 9","29","1995","378"," 39; 39","2","0","29.2","16.6","54"
"100","BBG","wet","10"," 3","1995","203","  1","1","0","34.3","15.2","28"
"101","BBG","wet","10"," 3","1995","216","140;140;140","3","0","34.3","15.2","28"
"102","BBG","wet","10"," 3","1995","217","140;140","2","0","34.3","15.2","28"
"103","BBG","wet","10"," 3","1995","276","140","1","0","34.3","15.2","28"
"104","BBG","wet","10"," 3","1995","296","140","1","0","34.3","15.2","28"
"105","BBG","wet","10"," 3","1995","350"," 29;140","2","0","34.3","15.2","28"
"106","BBG","wet","10","10","1995","216","119;140;140;153;158","5","0.3","24.3","17.2","85"
"107","BBG","wet","10","10","1995","217","150;153;158;158;158","5","0.3","24.3","17.2","85"
"108","BBG","wet","10","10","1995","335"," 80; 80; 80","3","0.3","24.3","17.2","85"
"109","BBG","wet","10","10","1995","341"," 97; 97;150;150","4","0.3","24.3","17.2","85"
"110","BBG","wet","10","10","1995","378"," 39; 79","2","0.3","24.3","17.2","85"
"111","BBG","wet","10","10","1995","380"," 97; 97","2","0.3","24.3","17.2","85"
"112","BBG","wet","10","17","1995","222"," 29","1","0","31.7","15.6","49"
"113","BBG","wet","10","17","1995","284"," 97","1","0","31.7","15.6","49"
"114","BBG","wet","10","17","1995","350"," 97","1","0","31.7","15.6","49"
"115","BBG","wet","10","17","1995","378"," 97;120","2","0","31.7","15.6","49"
"116","BBG","wet","10","24","1995","216","108;158;158;158","4","0","31.1","18.6","58"
"117","BBG","wet","10","24","1995","238"," 31","1","0","31.1","18.6","58"
"118","BBG","wet","10","24","1995","273"," 31","1","0","31.1","18.6","58"
"119","BBG","wet","10","24","1995","277"," 97","1","0","31.1","18.6","58"
"120","BBG","wet","10","24","1995","324","153","1","0","31.1","18.6","58"
"121","BBG","wet","10","24","1995","341"," 97","1","0","31.1","18.6","58"
"122","BBG","wet","10","24","1995","344"," 31;158","2","0","31.1","18.6","58"
"123","BBG","wet","10","24","1995","350"," 97","1","0","31.1","18.6","58"
"124","BBG","wet","10","24","1995","378","108;108;108;108;108;121;121","7","0","31.1","18.6","58"
"125","BBG","wet","10","31","1995","216"," 35; 35; 35; 35; 35; 35; 35; 73; 74;121;121;121","12","17.8","25.3","15.8","81"
"126","BBG","wet","10","31","1995","217"," 35","1","17.8","25.3","15.8","81"
"127","BBG","wet","10","31","1995","290","121","1","17.8","25.3","15.8","81"
"128","BBG","wet","10","31","1995","296","121","1","17.8","25.3","15.8","81"
"129","BBG","wet","10","31","1995","341"," 97","1","17.8","25.3","15.8","81"
"130","BBG","wet","10","31","1995","350"," 74; 97","2","17.8","25.3","15.8","81"
"131","BBG","wet","10","31","1995","351"," 74","1","17.8","25.3","15.8","81"
"132","BBG","wet","10","31","1995","378","152","1","17.8","25.3","15.8","81"
"133","BBG","wet","11"," 7","1995","216","151","1","0","27","16","63"
"134","BBG","wet","11"," 7","1995","217","151","1","0","27","16","63"
"135","BBG","wet","11"," 7","1995","279"," 31","1","0","27","16","63"
"136","BBG","wet","11","23","1995","278"," 31","1","0","26.7","16.9","73"
"137","BBG","wet","11","23","1995","279"," 31","1","0","26.7","16.9","73"
"138","BBG","wet","11","23","1995","344"," 31; 31","2","0","26.7","16.9","73"
"139","BBG","wet","11","23","1995","355","150","1","0","26.7","16.9","73"
"140","BBG","wet","12"," 5","1995","290"," 58","1","4.4","28.1","15.9","80"
"141","BBG","wet","12"," 5","1995","294","181","1","4.4","28.1","15.9","80"
"142","BBG","wet","12"," 5","1995","301","181","1","4.4","28.1","15.9","80"
"143","BBG","wet","12"," 5","1995","348"," 98","1","4.4","28.1","15.9","80"
"144","BBG","wet","12"," 5","1995","351","181;181;181","3","4.4","28.1","15.9","80"
"145","BBG","wet","12"," 5","1995","362","181;181;181;181;181;181;181;181","8","4.4","28.1","15.9","80"
"146","BBG","wet","12"," 5","1995","378"," 58; 58; 58","3","4.4","28.1","15.9","80"
"147","BBG","wet","12","19","1995","355","150","1","0","29.6","17.6","64"
"148","BBG","wet"," 1"," 9","1996","216","133","1","4","25.6","16.8","84"
"149","BBG","wet"," 1"," 9","1996","296","150;150","2","4","25.6","16.8","84"
"150","BBG","wet"," 1"," 9","1996","341","150","1","4","25.6","16.8","84"
"151","BBG","wet"," 1","25","1996","190","150","1","0","30.7","15.3","48"
"152","BBG","wet"," 1","25","1996","355","150","1","0","30.7","15.3","48"
"153","BBG","wet"," 1","30","1996","341","150","1","3.6","28.9","14.6","60"
"154","BBG","wet"," 2"," 6","1996","183"," 61","1","0","28","17.6","78"
"155","BBG","wet"," 2"," 6","1996","216"," 59; 59","2","0","28","17.6","78"
"156","BBG","wet"," 2"," 6","1996","258","113","1","0","28","17.6","78"
"157","BBG","wet"," 2"," 6","1996","291","124","1","0","28","17.6","78"
"158","BBG","wet"," 2"," 6","1996","378"," 59; 59;106","3","0","28","17.6","78"
"159","BBG","wet"," 2"," 6","1996","380"," 49","1","0","28","17.6","78"
"160","BBG","wet"," 2","13","1996","221","130","1","0.5","30.2","14","58"
"161","BBG","wet"," 2","13","1996","288","130","1","0.5","30.2","14","58"
"162","BBG","wet"," 2","28","1996","185"," 86; 86","2","7.8","29.7","14.4","51"
"163","BBG","wet"," 2","28","1996","203"," 59","1","7.8","29.7","14.4","51"
"164","BBG","wet"," 2","28","1996","212"," 40","1","7.8","29.7","14.4","51"
"165","BBG","wet"," 2","28","1996","214"," 43; 61; 62","3","7.8","29.7","14.4","51"
"166","BBG","wet"," 2","28","1996","228"," 13","1","7.8","29.7","14.4","51"
"167","BBG","wet"," 2","28","1996","262"," 86","1","7.8","29.7","14.4","51"
"168","BBG","wet"," 2","28","1996","312","169","1","7.8","29.7","14.4","51"
"169","BBG","wet"," 2","28","1996","313"," 59","1","7.8","29.7","14.4","51"
"170","BBG","wet"," 2","28","1996","338"," 86","1","7.8","29.7","14.4","51"
"171","BBG","wet"," 2","28","1996","339","106","1","7.8","29.7","14.4","51"
"172","BBG","wet"," 2","28","1996","361"," 86","1","7.8","29.7","14.4","51"
"173","BBG","wet"," 2","28","1996","371"," 86","1","7.8","29.7","14.4","51"
"174","BBG","wet"," 2","28","1996","378"," 43","1","7.8","29.7","14.4","51"
"175","BBG","wet"," 2","28","1996","386","106","1","7.8","29.7","14.4","51"
"176","BBG","wet"," 3"," 6","1996","271","150","1","94.1","26.6","19.5","96"
"177","BBG","wet"," 3","19","1996","187"," 85","1","0","26.3","18.4","78"
"178","BBG","wet"," 3","19","1996","190"," 43","1","0","26.3","18.4","78"
"179","BBG","wet"," 3","19","1996","203"," 43;172","2","0","26.3","18.4","78"
"180","BBG","wet"," 3","19","1996","214"," 43; 43; 43","3","0","26.3","18.4","78"
"181","BBG","wet"," 3","19","1996","223","172","1","0","26.3","18.4","78"
"182","BBG","wet"," 3","19","1996","245","172","1","0","26.3","18.4","78"
"183","BBG","wet"," 3","19","1996","268","172","1","0","26.3","18.4","78"
"184","BBG","wet"," 3","19","1996","289","172","1","0","26.3","18.4","78"
"185","BBG","wet"," 3","19","1996","290","172","1","0","26.3","18.4","78"
"186","BBG","wet"," 3","19","1996","291"," 59","1","0","26.3","18.4","78"
"187","BBG","wet"," 3","19","1996","295"," 43;172","2","0","26.3","18.4","78"
"188","BBG","wet"," 3","19","1996","296","172","1","0","26.3","18.4","78"
"189","BBG","wet"," 3","19","1996","308","172","1","0","26.3","18.4","78"
"190","BBG","wet"," 3","19","1996","312","172","1","0","26.3","18.4","78"
"191","BBG","wet"," 3","19","1996","317"," 43","1","0","26.3","18.4","78"
"192","BBG","wet"," 3","19","1996","320","172","1","0","26.3","18.4","78"
"193","BBG","wet"," 3","19","1996","322"," 59;172;172","3","0","26.3","18.4","78"
"194","BBG","wet"," 3","19","1996","333","172","1","0","26.3","18.4","78"
"195","BBG","wet"," 3","19","1996","341","  2","1","0","26.3","18.4","78"
"196","BBG","wet"," 3","19","1996","350"," 43; 43; 43","3","0","26.3","18.4","78"
"197","BBG","wet"," 3","19","1996","378"," 43; 43; 43","3","0","26.3","18.4","78"
"198","BBG","wet"," 3","26","1996","221","162","1","1.2","29","15.6","74"
"199","BBG","wet"," 3","26","1996","225","150","1","1.2","29","15.6","74"
"200","BBG","wet"," 3","26","1996","279","150;150","2","1.2","29","15.6","74"
"201","BBG","wet"," 3","26","1996","283","148","1","1.2","29","15.6","74"
"202","BBG","wet"," 3","26","1996","287","162","1","1.2","29","15.6","74"
"203","BBG","wet"," 3","26","1996","348"," 21","1","1.2","29","15.6","74"
"204","BBG","wet"," 3","26","1996","364"," 81","1","1.2","29","15.6","74"
"205","BBG","dry"," 4"," 3","1996","203","172","1","0","28.9","16.8","56"
"206","BBG","dry"," 4"," 3","1996","211"," 59","1","0","28.9","16.8","56"
"207","BBG","dry"," 4"," 3","1996","216"," 16","1","0","28.9","16.8","56"
"208","BBG","dry"," 4"," 3","1996","225"," 16","1","0","28.9","16.8","56"
"209","BBG","dry"," 4"," 3","1996","231"," 16","1","0","28.9","16.8","56"
"210","BBG","dry"," 4"," 3","1996","233"," 16","1","0","28.9","16.8","56"
"211","BBG","dry"," 4"," 3","1996","247","148;172;172;172","4","0","28.9","16.8","56"
"212","BBG","dry"," 4"," 3","1996","248","172","1","0","28.9","16.8","56"
"213","BBG","dry"," 4"," 3","1996","291","172","1","0","28.9","16.8","56"
"214","BBG","dry"," 4"," 3","1996","322","172","1","0","28.9","16.8","56"
"215","BBG","dry"," 4"," 3","1996","333","172","1","0","28.9","16.8","56"
"216","BBG","dry"," 4"," 3","1996","350"," 43;172;172;172;172;172","6","0","28.9","16.8","56"
"217","BBG","dry"," 4"," 3","1996","378"," 43; 43; 43; 43; 43","5","0","28.9","16.8","56"
"218","BBG","dry"," 4"," 9","1996","194","162","1","0","28.6","14.6","71"
"219","BBG","dry"," 4"," 9","1996","222"," 18","1","0","28.6","14.6","71"
"220","BBG","dry"," 4"," 9","1996","244"," 18","1","0","28.6","14.6","71"
"221","BBG","dry"," 4"," 9","1996","272","150","1","0","28.6","14.6","71"
"222","BBG","dry"," 4"," 9","1996","273","150","1","0","28.6","14.6","71"
"223","BBG","dry"," 4"," 9","1996","279","150;150;150","3","0","28.6","14.6","71"
"224","BBG","dry"," 4"," 9","1996","312","175","1","0","28.6","14.6","71"
"225","BBG","dry"," 4"," 9","1996","317","175;175","2","0","28.6","14.6","71"
"226","BBG","dry"," 4"," 9","1996","327"," 83","1","0","28.6","14.6","71"
"227","BBG","dry"," 4"," 9","1996","333"," 16","1","0","28.6","14.6","71"
"228","BBG","dry"," 4"," 9","1996","341","150;162;162","3","0","28.6","14.6","71"
"229","BBG","dry"," 4"," 9","1996","350","175","1","0","28.6","14.6","71"
"230","BBG","dry"," 4"," 9","1996","355","162","1","0","28.6","14.6","71"
"231","BBG","dry"," 4"," 9","1996","382","162","1","0","28.6","14.6","71"
"232","BBG","dry"," 4"," 9","1996","387","162;162","2","0","28.6","14.6","71"
"233","BBG","dry"," 4","16","1996","214"," 87;172;172","3","0","26.9","17.2","85"
"234","BBG","dry"," 4","16","1996","284"," 59","1","0","26.9","17.2","85"
"235","BBG","dry"," 4","16","1996","290","168","1","0","26.9","17.2","85"
"236","BBG","dry"," 4","16","1996","291","167","1","0","26.9","17.2","85"
"237","BBG","dry"," 4","16","1996","319"," 87","1","0","26.9","17.2","85"
"238","BBG","dry"," 4","16","1996","321"," 87","1","0","26.9","17.2","85"
"239","BBG","dry"," 4","16","1996","350"," 24;172;175;175","4","0","26.9","17.2","85"
"240","BBG","dry"," 4","16","1996","367","128","1","0","26.9","17.2","85"
"241","BBG","dry"," 4","16","1996","378","167;167;167;167;167;172","6","0","26.9","17.2","85"
"242","BBG","dry"," 4","23","1996","184","168;175","2","0","26.1","11.4","57"
"243","BBG","dry"," 4","23","1996","216","168;168","2","0","26.1","11.4","57"
"244","BBG","dry"," 4","23","1996","217","168","1","0","26.1","11.4","57"
"245","BBG","dry"," 4","23","1996","225"," 18","1","0","26.1","11.4","57"
"246","BBG","dry"," 4","23","1996","231","162","1","0","26.1","11.4","57"
"247","BBG","dry"," 4","23","1996","248","168","1","0","26.1","11.4","57"
"248","BBG","dry"," 4","23","1996","279","150","1","0","26.1","11.4","57"
"249","BBG","dry"," 4","23","1996","289","168;175","2","0","26.1","11.4","57"
"250","BBG","dry"," 4","23","1996","290","168","1","0","26.1","11.4","57"
"251","BBG","dry"," 4","23","1996","298","168;175;175","3","0","26.1","11.4","57"
"252","BBG","dry"," 4","23","1996","300","168;168;168","3","0","26.1","11.4","57"
"253","BBG","dry"," 4","23","1996","312","168;175","2","0","26.1","11.4","57"
"254","BBG","dry"," 4","23","1996","317","175","1","0","26.1","11.4","57"
"255","BBG","dry"," 4","23","1996","325","168;175;175;175;175;175;175;175","8","0","26.1","11.4","57"
"256","BBG","dry"," 4","23","1996","341","168","1","0","26.1","11.4","57"
"257","BBG","dry"," 4","23","1996","350","175;175;175","3","0","26.1","11.4","57"
"258","BBG","dry"," 4","23","1996","351","175;175","2","0","26.1","11.4","57"
"259","BBG","dry"," 4","23","1996","378","152;152","2","0","26.1","11.4","57"
"260","BBG","dry"," 4","24","1996","194","162","1","0","27.6","10.3","52"
"261","BBG","dry"," 4","24","1996","225","150;175","2","0","27.6","10.3","52"
"262","BBG","dry"," 4","24","1996","226","175","1","0","27.6","10.3","52"
"263","BBG","dry"," 4","24","1996","229","162","1","0","27.6","10.3","52"
"264","BBG","dry"," 4","24","1996","298","168","1","0","27.6","10.3","52"
"265","BBG","dry"," 4","24","1996","341","150","1","0","27.6","10.3","52"
"266","BBG","dry"," 4","24","1996","350","175","1","0","27.6","10.3","52"
"267","BBG","dry"," 4","24","1996","364","175","1","0","27.6","10.3","52"
"268","BBG","dry"," 4","24","1996","378","162;162;162;162","4","0","27.6","10.3","52"
"269","BBG","dry"," 5"," 7","1996","184","168","1","0","27.3","13.9","59"
"270","BBG","dry"," 5"," 7","1996","203"," 87","1","0","27.3","13.9","59"
"271","BBG","dry"," 5"," 7","1996","250","168","1","0","27.3","13.9","59"
"272","BBG","dry"," 5"," 7","1996","254","172","1","0","27.3","13.9","59"
"273","BBG","dry"," 5"," 7","1996","279"," 87; 87;172","3","0","27.3","13.9","59"
"274","BBG","dry"," 5"," 7","1996","289","172","1","0","27.3","13.9","59"
"275","BBG","dry"," 5"," 7","1996","298","168;168;168;172;172","5","0","27.3","13.9","59"
"276","BBG","dry"," 5"," 7","1996","314","175","1","0","27.3","13.9","59"
"277","BBG","dry"," 5"," 7","1996","317","168","1","0","27.3","13.9","59"
"278","BBG","dry"," 5"," 7","1996","320","168","1","0","27.3","13.9","59"
"279","BBG","dry"," 5"," 7","1996","350","172;175","2","0","27.3","13.9","59"
"280","BBG","dry"," 5"," 7","1996","351","172;172","2","0","27.3","13.9","59"
"281","BBG","dry"," 5"," 7","1996","364","127","1","0","27.3","13.9","59"
"282","BBG","dry"," 5"," 7","1996","378"," 82","1","0","27.3","13.9","59"
"283","BBG","dry"," 5"," 7","1996","385","  6","1","0","27.3","13.9","59"
"284","BBG","dry"," 5"," 8","1996","225"," 82","1","0","26.8","11.5","55"
"285","BBG","dry"," 5"," 8","1996","249","168","1","0","26.8","11.5","55"
"286","BBG","dry"," 5"," 8","1996","333","168","1","0","26.8","11.5","55"
"287","BBG","dry"," 5","14","1996","221","168","1","0","26.7","14","66"
"288","BBG","dry"," 5","14","1996","233"," 42","1","0","26.7","14","66"
"289","BBG","dry"," 5","14","1996","252","168","1","0","26.7","14","66"
"290","BBG","dry"," 5","14","1996","305","168","1","0","26.7","14","66"
"291","BBG","dry"," 5","14","1996","317","168","1","0","26.7","14","66"
"292","BBG","dry"," 5","14","1996","333","168;168","2","0","26.7","14","66"
"293","BBG","dry"," 5","14","1996","350","168;168","2","0","26.7","14","66"
"294","BBG","dry"," 5","14","1996","364","168;168;168;168;177","5","0","26.7","14","66"
"295","BBG","dry"," 5","14","1996","374","168","1","0","26.7","14","66"
"296","BBG","dry"," 5","14","1996","378","154","1","0","26.7","14","66"
"297","BBG","dry"," 5","16","1996","199"," 42","1","0","28.5","14.5","77"
"298","BBG","dry"," 5","16","1996","216"," 87","1","0","28.5","14.5","77"
"299","BBG","dry"," 5","16","1996","225","150","1","0","28.5","14.5","77"
"300","BBG","dry"," 5","16","1996","290","168","1","0","28.5","14.5","77"
"301","BBG","dry"," 5","16","1996","298","168","1","0","28.5","14.5","77"
"302","BBG","dry"," 5","16","1996","326","168","1","0","28.5","14.5","77"
"303","BBG","dry"," 5","16","1996","333","168","1","0","28.5","14.5","77"
"304","BBG","dry"," 5","21","1996","194"," 25","1","12","27.5","14.3","71"
"305","BBG","dry"," 5","21","1996","195","168","1","12","27.5","14.3","71"
"306","BBG","dry"," 5","21","1996","216"," 25;154","2","12","27.5","14.3","71"
"307","BBG","dry"," 5","21","1996","221"," 16;127","2","12","27.5","14.3","71"
"308","BBG","dry"," 5","21","1996","225"," 17","1","12","27.5","14.3","71"
"309","BBG","dry"," 5","21","1996","226"," 87","1","12","27.5","14.3","71"
"310","BBG","dry"," 5","21","1996","250"," 55","1","12","27.5","14.3","71"
"311","BBG","dry"," 5","21","1996","279"," 87; 87;150","3","12","27.5","14.3","71"
"312","BBG","dry"," 5","21","1996","289"," 87","1","12","27.5","14.3","71"
"313","BBG","dry"," 5","21","1996","290","168","1","12","27.5","14.3","71"
"314","BBG","dry"," 5","21","1996","305"," 92","1","12","27.5","14.3","71"
"315","BBG","dry"," 5","21","1996","312","175","1","12","27.5","14.3","71"
"316","BBG","dry"," 5","21","1996","317","154","1","12","27.5","14.3","71"
"317","BBG","dry"," 5","21","1996","320","175","1","12","27.5","14.3","71"
"318","BBG","dry"," 5","21","1996","326","168","1","12","27.5","14.3","71"
"319","BBG","dry"," 5","21","1996","333"," 16; 87;127;127","4","12","27.5","14.3","71"
"320","BBG","dry"," 5","21","1996","341","154","1","12","27.5","14.3","71"
"321","BBG","dry"," 5","21","1996","348"," 25; 87","2","12","27.5","14.3","71"
"322","BBG","dry"," 5","21","1996","350","  6;175;175","3","12","27.5","14.3","71"
"323","BBG","dry"," 5","21","1996","356","150","1","12","27.5","14.3","71"
"324","BBG","dry"," 5","21","1996","362","175","1","12","27.5","14.3","71"
"325","BBG","dry"," 5","21","1996","364"," 16","1","12","27.5","14.3","71"
"326","BBG","dry"," 5","21","1996","371"," 43","1","12","27.5","14.3","71"
"327","BBG","dry"," 5","21","1996","378"," 36; 36;130;130","4","12","27.5","14.3","71"
"328","BBG","dry"," 5","21","1996","382","154","1","12","27.5","14.3","71"
"329","BBG","dry"," 5","21","1996","386"," 25; 43; 87","3","12","27.5","14.3","71"
"330","BBG","dry"," 5","28","1996","185","168","1","0","24.1","11.6","61"
"331","BBG","dry"," 5","28","1996","215","106","1","0","24.1","11.6","61"
"332","BBG","dry"," 5","28","1996","216"," 42; 87","2","0","24.1","11.6","61"
"333","BBG","dry"," 5","28","1996","217","150","1","0","24.1","11.6","61"
"334","BBG","dry"," 5","28","1996","233"," 87","1","0","24.1","11.6","61"
"335","BBG","dry"," 5","28","1996","239","168","1","0","24.1","11.6","61"
"336","BBG","dry"," 5","28","1996","249","168","1","0","24.1","11.6","61"
"337","BBG","dry"," 5","28","1996","281","168;168","2","0","24.1","11.6","61"
"338","BBG","dry"," 5","28","1996","289"," 56","1","0","24.1","11.6","61"
"339","BBG","dry"," 5","28","1996","293","168","1","0","24.1","11.6","61"
"340","BBG","dry"," 5","28","1996","298","168;168;168;168;168;168","6","0","24.1","11.6","61"
"341","BBG","dry"," 5","28","1996","304","168","1","0","24.1","11.6","61"
"342","BBG","dry"," 5","28","1996","317","168","1","0","24.1","11.6","61"
