,Order,Pollinator.name,Genus,Species,Taxa,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference,Size,SizeType
11,Diptera,Aedes.nigripes,Aedes,nigripes,Aedes nigripes,Salix glauca,1,tun,,NA,,NA,"Tundra, Greenland","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.35,BL
12,Diptera,Aedes.nigripes,Aedes,nigripes,Aedes nigripes,Ledum palustre,1,tun,,NA,,NA,"Tundra, Greenland","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.35,BL
13,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Lepidaploa rufogrisea,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
14,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
15,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
16,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
17,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
18,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
19,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Lepidaploa rufogrisea,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
20,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Lepidaploa rufogrisea,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
21,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Pterodon emarginatus,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
22,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
23,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Calea fruticosa,1,cer,wet,NA,Jun,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
24,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Lepidaploa aurea,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
25,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
26,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
27,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
28,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Ruellia incompta,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
29,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Lepidaploa aurea,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
30,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,Tibouchina stenocarpa,1,bbg,,NA,,NA,Brasilia Botanical Garden,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
31,Hymenoptera,Agapostemon.coloradensis,Agapostemon,coloradensis,Agapostemon coloradensis,Stanleya pinnatifida,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL
32,Hymenoptera,Agapostemon.coloradensis,Agapostemon,coloradensis,Agapostemon coloradensis,Taraxacum officinale,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL
33,Hymenoptera,Agapostemon.sp,Agapostemon,sp,Agapostemon sp,Stanleya pinnatifida,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL
34,Hymenoptera,Agapostemon.sp,Agapostemon,sp,Agapostemon sp,Prunus demissa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL
39,Hymenoptera,Agathis.vulgaris,Agathis,vulgaris,Agathis vulgaris,Achillea millefolium,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
51,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Mertensia sibirica,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
52,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Rubus strigosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
53,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Cornus canadensis,2,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
54,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Jamesia americana,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
55,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Geranium richardsoni,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
56,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,Geranium caespitosum,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
57,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,Ipomoea contorquens,1,cer,wet,NA,Mar,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
58,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,Ipomoea contorquens,1,cer,wet,NA,Mar,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
59,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,Ipomoea contorquens,1,cer,wet,NA,Mar,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
60,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,Merremia contorquens,1,cer,wet,NA,Mar,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
61,#N/A,Ancyloscelis.sp.,Ancyloscelis,sp.,Ancyloscelis sp,Ipomoea contorquens,1,cer,wet,NA,Jan,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
65,Hymenoptera,Andrena.apacheorum,Andrena,apacheorum,Andrena apacheorum,Geranium caespitosum,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
66,Hymenoptera,Andrena.apacheorum,Andrena,apacheorum,Andrena apacheorum,Erigeron macranthus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
110,Hymenoptera,Andrena.edwiniae,Andrena,edwiniae,Andrena edwiniae,Prunus demissa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL
111,Hymenoptera,Andrena.edwiniae,Andrena,edwiniae,Andrena edwiniae,Jamesia americana,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL
124,Hymenoptera,Andrena.gardineri,Andrena,gardineri,Andrena gardineri,Astragalus drummondi,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL
130,Hymenoptera,Andrena.lewisi,Andrena,lewisi,Andrena lewisi,Rubus strigosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
131,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Opulaster opulifolius,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
132,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Holodiscus dumosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
133,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Penstemon secundiflorus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
134,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Frasera speciosa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
135,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Geranium richardsoni,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
136,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Sedum stenopetalum,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
137,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Geranium caespitosum,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
138,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Rosa acicularis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
139,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Rubus deliciosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
140,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Pentstemon glaber,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
141,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Prunus demissa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
142,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Mertensia sibirica,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
143,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Rubus strigosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
144,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,Onagra biennis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
170,Hymenoptera,Andrena.personata,Andrena,personata,Andrena personata,Stellaria pubera,1,nca,,NA,,NA,"North Carolina, USA","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",6.1,BL
171,Hymenoptera,Andrena.personata,Andrena,personata,Andrena personata,Isopyrum biternatum,1,bfi,,NA,,NA,"Brownfield, Illinois, USA","Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",6.1,BL
172,Hymenoptera,Andrena.placida,Andrena,placida,Andrena placida,Rubus deliciosus,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.5,BL
177,Hymenoptera,Andrena.pubescens,Andrena,pubescens,Andrena pubescens,Ranunculus acris,1,snk,,NA,,NA,"Shelfanger, Norfolk, UK","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.4,BL
178,Hymenoptera,Andrena.pubescens,Andrena,pubescens,Andrena pubescens,Leucanthemum vulgare,1,hnk,,NA,,NA,"Hickling, Norfolk, UK","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.4,BL
179,Hymenoptera,Andrena.pubescens,Andrena,pubescens,Andrena pubescens,Lotus corniculatus,1,hnk,,NA,,NA,"Hickling, Norfolk, UK","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.4,BL
192,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,Claytonia virginica,1,bfi,,NA,,NA,"Brownfield, Illinois, USA","Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",8,BL
193,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,Rosa acicularis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
194,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,Prunus demissa,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
195,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,Prunus virginiana,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL
220,Hymenoptera,Andrena.violae,Andrena,violae,Andrena violae,Viola papilionacea,4,nca,,NA,,NA,"North Carolina, USA","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",10,BL
221,Hymenoptera,Andrena.w,Andrena,w,Andrena w scripta,Cornus canadensis,7,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
222,Hymenoptera,Andrena.w,Andrena,w,Andrena w scripta,Aralia nudicaulis,1,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL
223,Hymenoptera,Andrena.washingtoni,Andrena,washingtoni,Andrena washingtoni,Pentstemon gracilis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
224,Hymenoptera,Andrena.washingtoni,Andrena,washingtoni,Andrena washingtoni,Rosa acicularis,1,ppc,,NA,,NA,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL
225,Hymenoptera,Andrena.wheeleri,Andrena,wheeleri,Andrena wheeleri,Aralia nudicaulis,1,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
232,Hymenoptera,Andrena.ziziaeformis,Andrena,ziziaeformis,Andrena ziziaeformis,Claytonia virginica,1,nca,,NA,,NA,"North Carolina, USA","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",8,BL
233,Hymenoptera,Andrena.ziziaeformis,Andrena,ziziaeformis,Andrena ziziaeformis,Uvularia sessilifolia,1,nca,,NA,,NA,"North Carolina, USA","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",8,BL
239,Coleoptera,Anthaxia.expansa,Anthaxia,expansa,Anthaxia expansa,Trillium undulatum,1,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.55,BL
240,Coleoptera,Anthaxia.expansa,Anthaxia,expansa,Anthaxia expansa,Cornus canadensis,3,bwk,,NA,,NA,"Central New Brunswick, Canada","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.55,BL
241,Hymenoptera,Anthidiellum.sp,Anthidiellum,sp,Anthidiellum sp,Desmodium barbatum,1,gsv,,NA,,NA,"Guarico State, Venezuela","Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",7.25,BL
242,Hymenoptera,Anthidium.sertanicola,Anthidium,sertanicola,Anthidium sertanicola,Cuphea linarioides,1,cer,wet,NA,Jan,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
243,Hymenoptera,Anthidium.sertanicola,Anthidium,sertanicola,Anthidium sertanicola,Hoehnephytum trixoides,1,cer,wet,NA,Feb,2009,"The Cerrado, Brazil",Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
