,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,d,Strength,ND,SystemReference,Size,SizeType
248,Hymenoptera,Centris.violacea,Centris,violacea,Centris violacea,bbg,5,0.728006736,1.826482874,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
249,Hymenoptera,Centris.xanthocnemis,Centris,xanthocnemis,Centris xanthocnemis,bbg,1,0.636846111,0.066666667,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20.5,BL
252,Hymenoptera,Ceratina.asuncionis,Ceratina,asuncionis,Ceratina asuncionis,bbg,4,0.690984547,0.606442577,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
254,Hymenoptera,Ceratina.gossypii,Ceratina,gossypii,Ceratina gossypii,bbg,8,0.535954237,2.305256926,0.017130621,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
255,Hymenoptera,Ceratina.maculifrons,Ceratina,maculifrons,Ceratina maculifrons,bbg,9,0.62275457,1.624875178,0.019271949,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
257,Hymenoptera,Ceratina.rupestris,Ceratina,rupestris,Ceratina rupestris,bbg,1,0.808331438,0.25,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
260,Hymenoptera,Ceratina.sp,Ceratina,sp,Ceratina sp,bbg,24,0.784171787,3.980595239,0.051391863,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.35,BL
291,Hymenoptera,Coelioxys.sp,Coelioxys,sp,Coelioxys sp,bbg,2,0.360393631,0.020233985,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.5,BL
304,Hymenoptera,Colletes.petropolitanus,Colletes,petropolitanus,Colletes petropolitanus,bbg,2,0.556752152,0.082101806,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
305,Hymenoptera,Colletes.rufipes,Colletes,rufipes,Colletes rufipes,bbg,1,0.548440212,0.034482759,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
307,Hymenoptera,Colletes.sp,Colletes,sp,Colletes sp,bbg,1,0.620061532,0.058823529,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
314,Hymenoptera,Ctenioschelus.goeryi,Ctenioschelus,goeryi,Ctenioschelus goeryi,bbg,1,0.502004011,0.024390244,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15,BL
322,Hymenoptera,Dasyhalonia.phaeoptera,Dasyhalonia,phaeoptera,Dasyhalonia phaeoptera,bbg,2,0.342498572,0.018506181,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
323,Hymenoptera,Dasyhalonia.sp,Dasyhalonia,sp,Dasyhalonia sp,bbg,10,0.603677032,1.867131356,0.021413276,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
342,Hymenoptera,Dianthidium.sp,Dianthidium,sp,Dianthidium sp,bbg,3,0.511364092,0.183187855,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14.25,BL
358,Hymenoptera,Epanthidium.aureocinctum,Epanthidium,aureocinctum,Epanthidium aureocinctum,bbg,2,0.470784216,0.070075758,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
360,Hymenoptera,Epanthidium.tigrinum,Epanthidium,tigrinum,Epanthidium tigrinum,bbg,2,0.623960718,0.525316456,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
364,Hymenoptera,Epicharis.affinis,Epicharis,affinis,Epicharis affinis,bbg,1,0.401114537,0.011494253,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
365,Hymenoptera,Epicharis.albofasciata,Epicharis,albofasciata,Epicharis albofasciata,bbg,1,0.401114537,0.011494253,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
366,Hymenoptera,Epicharis.analis,Epicharis,analis,Epicharis analis,bbg,3,0.575394318,0.212064136,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
368,Hymenoptera,Epicharis.bicolor,Epicharis,bicolor,Epicharis bicolor,bbg,1,0.814095696,0.25,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
370,Hymenoptera,Epicharis.cockerelli,Epicharis,cockerelli,Epicharis cockerelli,bbg,6,0.633361697,0.762869458,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
372,Hymenoptera,Epicharis.flava,Epicharis,flava,Epicharis flava,bbg,6,0.530743032,0.458553908,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
374,Hymenoptera,Epicharis.iheringii,Epicharis,iheringii,Epicharis iheringii,bbg,10,0.603057525,1.574066149,0.021413276,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
379,Hymenoptera,Epicharis.sp,Epicharis,sp,Epicharis sp,bbg,12,0.536141078,1.870766502,0.025695931,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
380,Hymenoptera,Epicharis.xanthogastra,Epicharis,xanthogastra,Epicharis xanthogastra,bbg,1,0.401114537,0.011494253,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL
411,Hymenoptera,Euglossa.cordata,Euglossa,cordata,Euglossa cordata,bbg,1,0.310494645,0.005847953,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
413,Hymenoptera,Euglossa.imperialis,Euglossa,imperialis,Euglossa imperialis,bbg,2,0.840822705,1.1,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.3,BL
414,Hymenoptera,Euglossa.melanotricha,Euglossa,melanotricha,Euglossa melanotricha,bbg,5,0.390846037,0.087332163,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
416,Hymenoptera,Euglossa.sp,Euglossa,sp,Euglossa sp,bbg,3,0.509631475,0.155202087,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
418,Hymenoptera,Euglossa.viridis,Euglossa,viridis,Euglossa viridis,bbg,2,0.589721828,0.103174603,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14,BL
421,Hymenoptera,Eulaema.nigrita,Eulaema,nigrita,Eulaema nigrita,bbg,1,0.508219448,0.022222222,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.9,ITD
441,Hymenoptera,Exomalopsis.analis,Exomalopsis,analis,Exomalopsis analis,bbg,11,0.648192445,1.796133668,0.023554604,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.68,BL
442,Hymenoptera,Exomalopsis.auropilosa,Exomalopsis,auropilosa,Exomalopsis auropilosa,bbg,5,0.558028808,0.790618754,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
444,Hymenoptera,Exomalopsis.campestris,Exomalopsis,campestris,Exomalopsis campestris,bbg,7,0.469161183,0.342450372,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
446,Hymenoptera,Exomalopsis.fulvofasciata,Exomalopsis,fulvofasciata,Exomalopsis fulvofasciata,bbg,1,0.852674325,0.333333333,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
450,Hymenoptera,Exomalopsis.sp,Exomalopsis,sp,Exomalopsis sp,bbg,9,0.814095696,0.576789757,0.019271949,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL
458,Hymenoptera,Gaesischia.araguaiana,Gaesischia,araguaiana,Gaesischia araguaiana,bbg,1,0.831187465,0.3,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
459,Hymenoptera,Gaesischia.belophora,Gaesischia,belophora,Gaesischia belophora,bbg,7,0.588862043,0.729991581,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
461,Hymenoptera,Gaesischia.flavoclypeata,Gaesischia,flavoclypeata,Gaesischia flavoclypeata,bbg,2,0.46118246,0.042961258,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
462,Hymenoptera,Gaesischia.fulgurans,Gaesischia,fulgurans,Gaesischia fulgurans,bbg,2,0.438009112,0.040467971,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL
469,Hymenoptera,Habralictus.sp,Habralictus,sp,Habralictus sp,bbg,1,0.548440212,0.034482759,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.25,BL
496,Hymenoptera,Hopliphora.superba,Hopliphora,superba,Hopliphora superba,bbg,1,0.733430938,0.177777778,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,19.5,BL
521,Hymenoptera,Lasioglossum.rostratus,Lasioglossum,rostratus,Lasioglossum rostratus,bbg,3,0.597709751,0.294444444,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL
523,Hymenoptera,Lasioglossum.sp,Lasioglossum,sp,Lasioglossum sp,bbg,2,0.636846111,0.289215686,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL
535,Hymenoptera,Lithurgus.sp,Lithurgus,sp,Lithurgus sp,bbg,1,0.628191392,0.0625,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13.5,BL
554,Hymenoptera,Megachile.affabilis,Megachile,affabilis,Megachile affabilis,bbg,3,0.693551667,1.085227273,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
555,Hymenoptera,Megachile.assumptionis,Megachile,assumptionis,Megachile assumptionis,bbg,1,0.414050013,0.012658228,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
556,Hymenoptera,Megachile.aureiventris,Megachile,aureiventris,Megachile aureiventris,bbg,1,0.345208407,0.007575758,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
558,Hymenoptera,Megachile.brethesi,Megachile,brethesi,Megachile brethesi,bbg,1,0.852674325,0.333333333,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
559,Hymenoptera,Megachile.curvipes,Megachile,curvipes,Megachile curvipes,bbg,4,0.491212419,0.199961071,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
560,Hymenoptera,Megachile.diversa,Megachile,diversa,Megachile diversa,bbg,1,0.345208407,0.007575758,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
562,Hymenoptera,Megachile.friesei,Megachile,friesei,Megachile friesei,bbg,4,0.760675568,1.374242424,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
564,Hymenoptera,Megachile.gigas,Megachile,gigas,Megachile gigas,bbg,1,0.784171787,0.2,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
566,Hymenoptera,Megachile.laeta,Megachile,laeta,Megachile laeta,bbg,2,0.56609676,0.088345865,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
567,Hymenoptera,Megachile.orba,Megachile,orba,Megachile orba,bbg,1,0.310494645,0.005847953,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
570,Hymenoptera,Megachile.rubricata,Megachile,rubricata,Megachile rubricata,bbg,5,0.540148245,1.186454867,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
575,Hymenoptera,Megachile.sp,Megachile,sp,Megachile sp,bbg,5,0.758287059,0.683912551,0.010706638,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
576,Hymenoptera,Megachile.terrestris,Megachile,terrestris,Megachile terrestris,bbg,1,0.491715986,0.025316456,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11,BL
590,Hymenoptera,Melipona.quinquefasciata,Melipona,quinquefasciata,Melipona quinquefasciata,bbg,15,0.561710801,2.519028482,0.032119914,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8.71,BL
597,Hymenoptera,Melissoptila.richardiae,Melissoptila,richardiae,Melissoptila richardiae,bbg,6,0.645645368,0.769501477,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
601,Hymenoptera,Melitoma.segmentaria,Melitoma,segmentaria,Melitoma segmentaria,bbg,2,0.610468004,0.153571429,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
602,Hymenoptera,Melitoma.sp,Melitoma,sp,Melitoma sp,bbg,4,0.812186547,1.645833333,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11.5,BL
604,Hymenoptera,Mesonychium.coerulescens,Mesonychium,coerulescens,Mesonychium coerulescens,bbg,3,0.382899901,0.039464755,0.006423983,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13,BL
605,Hymenoptera,Mesoplia.decorata,Mesoplia,decorata,Mesoplia decorata,bbg,1,0.620061532,0.058823529,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.75,BL
606,Hymenoptera,Mesoplia.rufipes,Mesoplia,rufipes,Mesoplia rufipes,bbg,2,0.45795092,0.065162907,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.75,BL
611,Hymenoptera,Monoeca.sp,Monoeca,sp,Monoeca sp,bbg,6,0.660401494,1.094283168,0.012847966,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL
620,Hymenoptera,Neocorynura.sp,Neocorynura,sp,Neocorynura sp,bbg,2,0.603879229,0.126623377,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8.25,BL
672,Hymenoptera,Oxaea.flavescens,Oxaea,flavescens,Oxaea flavescens,bbg,14,0.691013258,4.292569232,0.029978587,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,14.5,BL
687,Hymenoptera,Paratetrapedia.lugubris,Paratetrapedia,lugubris,Paratetrapedia lugubris,bbg,2,0.589721828,0.103174603,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
690,Hymenoptera,Paratetrapedia.sp,Paratetrapedia,sp,Paratetrapedia sp,bbg,15,0.656714137,3.378362027,0.032119914,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
691,Hymenoptera,Paratrigona.lineata,Paratrigona,lineata,Paratrigona lineata,bbg,33,0.561804701,6.91985734,0.070663812,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,4.5,BL
699,Hymenoptera,Partamona.cupira,Partamona,cupira,Partamona cupira,bbg,7,0.621088588,0.824329563,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,1.8,ITD
726,Hymenoptera,Plebeia.sp,Plebeia,sp,Plebeia sp,bbg,1,0.605145996,0.052631579,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,5.25,BL
748,Hymenoptera,Pseudaugochlora.graminea,Pseudaugochlora,graminea,Pseudaugochlora graminea,bbg,2,0.530521029,0.120833333,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11,BL
749,Hymenoptera,Pseudaugochlora.sp,Pseudaugochlora,sp,Pseudaugochlora sp,bbg,7,0.488312187,0.461340737,0.014989293,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
755,Hymenoptera,Ptilothrix.plumata,Ptilothrix,plumata,Ptilothrix plumata,bbg,1,0.873313972,0.4,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,11,BL
764,Hymenoptera,Rhathymus.fulvus,Rhathymus,fulvus,Rhathymus fulvus,bbg,1,0.345208407,0.007575758,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22,BL
773,Hymenoptera,Scaptotrigona.postica,Scaptotrigona,postica,Scaptotrigona postica,bbg,13,0.827594336,5.078410923,0.027837259,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12,BL
825,Diptera,Temnostoma.sp,Temnostoma,sp,Temnostoma sp,bbg,2,0.691272572,0.367816092,0.004282655,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,16.7,BL
831,Hymenoptera,Tetragona.clavipes,Tetragona,clavipes,Tetragona clavipes,bbg,30,0.636355985,7.685911404,0.064239829,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.4,BL
836,Hymenoptera,Tetrapedia.rugulosa,Tetrapedia,rugulosa,Tetrapedia rugulosa,bbg,4,0.590685822,0.382817782,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
837,Hymenoptera,Tetrapedia.sp,Tetrapedia,sp,Tetrapedia sp,bbg,4,0.544534568,0.277806585,0.00856531,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10.5,BL
838,Hymenoptera,Thalestria.spinosa,Thalestria,spinosa,Thalestria spinosa,bbg,1,0.470131861,0.019230769,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15.5,BL
841,Hymenoptera,Thectochlora.alaris,Thectochlora,alaris,Thectochlora alaris,bbg,1,0.814095696,0.25,0.002141328,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7,BL
